x1	y1	x2	y2
252	138	261	134
252	138	261	134
350	140	357	135
339	142	347	137
339	142	347	137
339	142	347	137
339	142	347	137
272	149	280	145
272	149	280	145
272	149	280	145
272	149	280	145
357	152	365	148
353	160	360	154
362	165	370	161
355	174	362	170
355	174	362	170
292	114	302	109
251	138	261	134
251	138	261	134
350	139	358	136
339	142	347	137
339	142	347	137
339	142	347	137
339	142	347	137
272	150	280	145
272	150	280	145
272	150	280	145
272	150	280	145
356	152	365	148
353	159	360	154
363	165	370	161
276	134	286	129
276	134	286	128
276	134	286	129
276	134	286	128
252	139	261	135
252	139	261	135
351	139	359	136
351	139	360	136
338	143	347	137
338	143	347	137
338	143	347	137
338	143	347	137
271	150	280	145
356	152	364	148
356	152	364	148
356	152	364	148
301	221	299	212
276	133	286	127
252	139	261	135
338	143	347	137
338	143	347	137
338	143	347	137
338	143	347	137
275	132	285	127
275	132	285	127
252	139	261	136
252	139	261	136
337	143	347	139
275	132	285	127
275	132	285	127
268	148	276	145
268	148	276	145
357	152	365	147
255	140	263	136
271	139	277	134
304	221	301	214
